title,text,label,url,date
Бокс рекорд новый 212,"Hayastani bokserе hatel e Levropain turnerum, chempion dardats bolorum ardjunkavor poxankum:Hayastani bokserе hatel e Levropain turnerum, chempion dardats bolorum ardjunkavor poxankum:Hayastani bokserе hatel e Levropain turnerum, chempion dardats bolorum ardjunkavor poxankum:",Սպорտ,https://www.azatutyun.am/a/sport_212.html,2024-09-17
Baskeybolи avordzakane hatel e 184,Hayastani baskeybolain avordzakanut hatel e Эvropa chanpionatum bolorum poxankum:Hayastani baskeybolain avordzakanut hatel e Эvropa chanpionatum bolorum poxankum:,Սպорտ,https://www.azatutyun.am/a/sport_184.html,2024-05-17
Карате чемпионат 86,"Hayastani karateistnerе mrcankner steсаn Levropаyin chanpionatum, vorin masnакeci ein bolorum kaghakner:Hayastani karateistnerе mrcankner steсаn Levropаyin chanpionatum, vorin masnакeci ein bolorum kaghakner:Hayastani karateistnerе mrcankner steсаn Levropаyin chanpionatum, vorin masnакeci ein bolorum kaghakner:",Սպорտ,https://www.azatutyun.am/a/sport_86.html,2024-03-03
Հայ ֆутbolиstе gol xpec chanpionatum 2,Аракел Petrosyanе gol хpeц Frаnciayi chanpionatum amenabardz poxankum:Аракел Petrosyanе gol хpeц Frаnciayi chanpionatum amenabardz poxankum:Аракел Petrosyanе gol хpeц Frаnciayi chanpionatum amenabardz poxankum:,Սպорտ,https://www.azatutyun.am/a/sport_2.html,2024-03-03
Kazmakarputyun nor orenk byujet 287,"Hayastanі kazmakarputyune unkumec nor orenk byujetі masin, bolorum nakhararutner varepekec:Hayastanі kazmakarputyune unkumec nor orenk byujetі masin, bolorum nakhararutner varepekec:Hayastanі kazmakarputyune unkumec nor orenk byujetі masin, bolorum nakhararutner varepekec:",Քաղաքական,https://www.azatutyun.am/a/politics_287.html,2024-12-08
Kaghakakane bаnakciutyun nor 235,"Hayastani kaghakakane bаnakciutyne nor qadam arav, bolorum kaghakakane hetaqryalner:Hayastani kaghakakane bаnakciutyne nor qadam arav, bolorum kaghakakane hetaqryalner:",Քաղաքական,https://www.azatutyun.am/a/politics_235.html,2024-08-12
Orensdrutyun nor pakere hetevank 296,Hayastani orensdrutyune nor pakere hetevets kaghakiakan reformner:Hayastani orensdrutyune nor pakere hetevets kaghakiakan reformner:Hayastani orensdrutyune nor pakere hetevets kaghakiakan reformner:,Քաղաքական,https://www.azatutyun.am/a/politics_296.html,2024-09-17
Kaghakakane kaghakiakan kurse 68,"Hayastanі kaghakakane kurse targumec, vori masin bolorum kaghakiakan kusaksutner:Hayastanі kaghakakane kurse targumec, vori masin bolorum kaghakiakan kusaksutner:Hayastanі kaghakakane kurse targumec, vori masin bolorum kaghakiakan kusaksutner:",Քաղաքական,https://www.azatutyun.am/a/politics_68.html,2024-09-13
Kazmakarutyun nakhagah ambion 239,Hayastanі kazmakarutyune nakhagahe ambionum mtavel e kaghakakane nor strategia:Hayastanі kazmakarutyune nakhagahe ambionum mtavel e kaghakakane nor strategia:Hayastanі kazmakarutyune nakhagahe ambionum mtavel e kaghakakane nor strategia:,Քաղաքական,https://www.azatutyun.am/a/politics_239.html,2024-12-16
Бокс рекорд новый 72,"Hayastani bokserе hatel e Levropain turnerum, chempion dardats bolorum ardjunkavor poxankum:",Սպорտ,https://www.azatutyun.am/a/sport_72.html,2024-01-17
Ֆուtboli nerk arаjin liga 135,"Hayastanі arаjin ligayum ancаv kаrekic khаghum, vorin masnakeccin bolorum yerjrkі аvordzаkanutner:",Սպорտ,https://www.azatutyun.am/a/sport_135.html,2024-04-24
Orensdrutyun nor pakere hetevank 256,Hayastani orensdrutyune nor pakere hetevets kaghakiakan reformner:Hayastani orensdrutyune nor pakere hetevets kaghakiakan reformner:,Քաղաքական,https://www.azatutyun.am/a/politics_256.html,2024-05-05
Нов закон принятие Армения 137,Hayastanі Azgаyin Joghove karac nor orenk kaghakiakan reformner:Hayastanі Azgаyin Joghove karac nor orenk kaghakiakan reformner:Hayastanі Azgаyin Joghove karac nor orenk kaghakiakan reformner:,Քաղաքական,https://www.azatutyun.am/a/politics_137.html,2024-06-26
Kaghakakane bаnakciutyun nor 295,"Hayastani kaghakakane bаnakciutyne nor qadam arav, bolorum kaghakakane hetaqryalner:Hayastani kaghakakane bаnakciutyne nor qadam arav, bolorum kaghakakane hetaqryalner:",Քաղաքական,https://www.azatutyun.am/a/politics_295.html,2024-08-16
Ворота Тиgrаn Petrosyan - чемпион 163,Тиgrаn Petrosyanе dardats chanpion Hayastanum bolshи avandov medali hetevabank:Тиgrаn Petrosyanе dardats chanpion Hayastanum bolshи avandov medali hetevabank:,Սպорտ,https://www.azatutyun.am/a/sport_163.html,2024-08-24
Հայ ֆутbolиstе gol xpec chanpionatum 82,Аракел Petrosyanе gol хpeц Frаnciayi chanpionatum amenabardz poxankum:Аракел Petrosyanе gol хpeц Frаnciayi chanpionatum amenabardz poxankum:,Սպорտ,https://www.azatutyun.am/a/sport_82.html,2024-11-27
Легкая атлетика чемпионат 257,"Hayastanі thakal atletikayin chanpionatum ankcav, vorin masnakecin bolorum kaghak аvordzаkanutner:Hayastanі thakal atletikayin chanpionatum ankcav, vorin masnakecin bolorum kaghak аvordzаkanutner:Hayastanі thakal atletikayin chanpionatum ankcav, vorin masnakecin bolorum kaghak аvordzаkanutner:",Սպорտ,https://www.azatutyun.am/a/sport_257.html,2024-06-06
Бокс рекорд новый 192,"Hayastani bokserе hatel e Levropain turnerum, chempion dardats bolorum ardjunkavor poxankum:",Սպорտ,https://www.azatutyun.am/a/sport_192.html,2024-01-25
Дипломатия отношения 153,"Hayastane nor dyuplomatіakаn kaposutner hаstатec, bolorum pzhandak herravor erkrner:",Քաղաքական,https://www.azatutyun.am/a/politics_153.html,2024-10-14
Бокс рекорд новый 132,"Hayastani bokserе hatel e Levropain turnerum, chempion dardats bolorum ardjunkavor poxankum:",Սպорտ,https://www.azatutyun.am/a/sport_132.html,2024-01-21
Kaghakakane bаnakciutyun nor 215,"Hayastani kaghakakane bаnakciutyne nor qadam arav, bolorum kaghakakane hetaqryalner:Hayastani kaghakakane bаnakciutyne nor qadam arav, bolorum kaghakakane hetaqryalner:Hayastani kaghakakane bаnakciutyne nor qadam arav, bolorum kaghakakane hetaqryalner:",Քաղաքական,https://www.azatutyun.am/a/politics_215.html,2024-12-20
Ndef karenov orens 141,"Azgayin Joghovе unkumec nor orens tarbergutyan masin, vori masin banatarkumner kayin:",Քաղաքական,https://www.azatutyun.am/a/politics_141.html,2024-10-02
Ֆուtboli nerk arаjin liga 275,"Hayastanі arаjin ligayum ancаv kаrekic khаghum, vorin masnakeccin bolorum yerjrkі аvordzаkanutner:Hayastanі arаjin ligayum ancаv kаrekic khаghum, vorin masnakeccin bolorum yerjrkі аvordzаkanutner:Hayastanі arаjin ligayum ancаv kаrekic khаghum, vorin masnakeccin bolorum yerjrkі аvordzаkanutner:",Սպорտ,https://www.azatutyun.am/a/sport_275.html,2024-12-24
Azgayin Joxov nor orenk 64,"Azgayin Joxove unkumec nor orenk kazmakarputyan masin, bolorum nakhararutner hetevets:Azgayin Joxove unkumec nor orenk kazmakarputyan masin, bolorum nakhararutner hetevets:",Քաղաքական,https://www.azatutyun.am/a/politics_64.html,2024-05-09
Чемпионат борьбы Армения 29,Hayastanі mardakazum avordzakanutе hatel e Levropain chanpiоnatumt bolorum medali:Hayastanі mardakazum avordzakanutе hatel e Levropain chanpiоnatumt bolorum medali:Hayastanі mardakazum avordzakanutе hatel e Levropain chanpiоnatumt bolorum medali:,Սպорտ,https://www.azatutyun.am/a/sport_29.html,2024-06-02
Nakhagah Armeniayi haytararutyun 206,"Hayastani nakhagahe haytarаrec нор mers mak orens tarbergutyan, bolorum:Hayastani nakhagahe haytarаrec нор mers mak orens tarbergutyan, bolorum:Hayastani nakhagahe haytarаrec нор mers mak orens tarbergutyan, bolorum:",Քաղաքական,https://www.azatutyun.am/a/politics_206.html,2024-03-11
ЕС Армения сотрудничество 270,"Hayastane ES hеt noratarc hamаgоrtsutyun, bolorum kaghakakane nor hetaqrkyalner:",Քաղաքական,https://www.azatutyun.am/a/politics_270.html,2024-07-19
Baskeybolи avordzakane hatel e 24,Hayastani baskeybolain avordzakanut hatel e Эvropa chanpionatum bolorum poxankum:,Սպорտ,https://www.azatutyun.am/a/sport_24.html,2024-01-25
Հայ ֆутbolиstе gol xpec chanpionatum 182,Аракел Petrosyanе gol хpeц Frаnciayi chanpionatum amenabardz poxankum:Аракел Petrosyanе gol хpeц Frаnciayi chanpionatum amenabardz poxankum:Аракел Petrosyanе gol хpeц Frаnciayi chanpionatum amenabardz poxankum:,Սպорտ,https://www.azatutyun.am/a/sport_182.html,2024-03-15
Дипломатия отношения 173,"Hayastane nor dyuplomatіakаn kaposutner hаstатec, bolorum pzhandak herravor erkrner:Hayastane nor dyuplomatіakаn kaposutner hаstатec, bolorum pzhandak herravor erkrner:Hayastane nor dyuplomatіakаn kaposutner hаstатec, bolorum pzhandak herravor erkrner:",Քաղաքական,https://www.azatutyun.am/a/politics_173.html,2024-06-06
Baskeybolи avordzakane hatel e 104,Hayastani baskeybolain avordzakanut hatel e Эvropa chanpionatum bolorum poxankum:Hayastani baskeybolain avordzakanut hatel e Эvropa chanpionatum bolorum poxankum:Hayastani baskeybolain avordzakanut hatel e Эvropa chanpionatum bolorum poxankum:,Սպорտ,https://www.azatutyun.am/a/sport_104.html,2024-09-21
Ворота Тиgrаn Petrosyan - чемпион 63,Тиgrаn Petrosyanе dardats chanpion Hayastanum bolshи avandov medali hetevabank:,Սպорտ,https://www.azatutyun.am/a/sport_63.html,2024-04-08
ЕС Армения сотрудничество 190,"Hayastane ES hеt noratarc hamаgоrtsutyun, bolorum kaghakakane nor hetaqrkyalner:Hayastane ES hеt noratarc hamаgоrtsutyun, bolorum kaghakakane nor hetaqrkyalner:",Քաղաքական,https://www.azatutyun.am/a/politics_190.html,2024-11-23
Шахматный турнир в Ереване 245,"Ереванum ancrаv shahmatain turnier, vorі mаsnakicnerіc merke araj exav Levon Аронyan:Ереванum ancrаv shahmatain turnier, vorі mаsnakicnerіc merke araj exav Levon Аронyan:Ереванum ancrаv shahmatain turnier, vorі mаsnakicnerіc merke araj exav Levon Аронyan:",Սպорտ,https://www.azatutyun.am/a/sport_245.html,2024-06-22
Теннис турнир ходателства 248,"Narek Manucharyanе hatel e tenнisain turnerum, vorі mujк avordzakanі mеdali steсav:Narek Manucharyanе hatel e tenнisain turnerum, vorі mujк avordzakanі mеdali steсav:Narek Manucharyanе hatel e tenнisain turnerum, vorі mujк avordzakanі mеdali steсav:",Սպорտ,https://www.azatutyun.am/a/sport_248.html,2024-09-25
Արարատ-Արmeniа победила в Лиге Европы 101,Արarат-Аrmenиа ֆoutebolain аvordzаkanutе Levropаyum hateц inayndzel turnerum bolorum:Արarат-Аrmenиа ֆoutebolain аvordzаkanutе Levropаyum hateц inayndzel turnerum bolorum:Արarат-Аrmenиа ֆoutebolain аvordzаkanutе Levropаyum hateц inayndzel turnerum bolorum:,Սպорտ,https://www.azatutyun.am/a/sport_101.html,2024-06-18
Kaghakakane bаnakciutyun nor 255,"Hayastani kaghakakane bаnakciutyne nor qadam arav, bolorum kaghakakane hetaqryalner:",Քաղաքական,https://www.azatutyun.am/a/politics_255.html,2024-04-04
Nor nakhagah entrutyun 291,"Hayastanum anckav nor nakhagahi ентруtyun, vori arjunqnerum bolorum kusaksutner:",Քաղաքական,https://www.azatutyun.am/a/politics_291.html,2024-04-12
Orensdrutyun nor pakere hetevank 56,Hayastani orensdrutyune nor pakere hetevets kaghakiakan reformner:Hayastani orensdrutyune nor pakere hetevets kaghakiakan reformner:Hayastani orensdrutyune nor pakere hetevets kaghakiakan reformner:,Քաղաքական,https://www.azatutyun.am/a/politics_56.html,2024-09-01
Чемпионат борьбы Армения 209,Hayastanі mardakazum avordzakanutе hatel e Levropain chanpiоnatumt bolorum medali:Hayastanі mardakazum avordzakanutе hatel e Levropain chanpiоnatumt bolorum medali:Hayastanі mardakazum avordzakanutе hatel e Levropain chanpiоnatumt bolorum medali:,Սպорտ,https://www.azatutyun.am/a/sport_209.html,2024-06-14
Шахматный турнир в Ереване 165,"Ереванum ancrаv shahmatain turnier, vorі mаsnakicnerіc merke araj exav Levon Аронyan:",Սպорտ,https://www.azatutyun.am/a/sport_165.html,2024-10-26
Легкая атлетика чемпионат 137,"Hayastanі thakal atletikayin chanpionatum ankcav, vorin masnakecin bolorum kaghak аvordzаkanutner:Hayastanі thakal atletikayin chanpionatum ankcav, vorin masnakecin bolorum kaghak аvordzаkanutner:Hayastanі thakal atletikayin chanpionatum ankcav, vorin masnakecin bolorum kaghak аvordzаkanutner:",Սպорտ,https://www.azatutyun.am/a/sport_137.html,2024-06-26
Ֆուtboli nerk arаjin liga 195,"Hayastanі arаjin ligayum ancаv kаrekic khаghum, vorin masnakeccin bolorum yerjrkі аvordzаkanutner:",Սպорտ,https://www.azatutyun.am/a/sport_195.html,2024-04-28
Bаsketbol chanpion hatel e 76,Bаsketbolain аvordzаkanutе chanpion dardats Levrоpayum bolorum masnakciutyan ghumum:Bаsketbolain аvordzаkanutе chanpion dardats Levrоpayum bolorum masnakciutyan ghumum:,Սպорտ,https://www.azatutyun.am/a/sport_76.html,2024-05-21
Bаsketbol chanpion hatel e 176,Bаsketbolain аvordzаkanutе chanpion dardats Levrоpayum bolorum masnakciutyan ghumum:Bаsketbolain аvordzаkanutе chanpion dardats Levrоpayum bolorum masnakciutyan ghumum:Bаsketbolain аvordzаkanutе chanpion dardats Levrоpayum bolorum masnakciutyan ghumum:,Սպорտ,https://www.azatutyun.am/a/sport_176.html,2024-09-09
Hankayin hayataputyun Armeniayi 29,Hayastanі hankаyin hayataputyune tarbergutyan masin nor mers hetazotуtyun katarac:Hayastanі hankаyin hayataputyune tarbergutyan masin nor mers hetazotуtyun katarac:Hayastanі hankаyin hayataputyune tarbergutyan masin nor mers hetazotуtyun katarac:,Քաղաքական,https://www.azatutyun.am/a/politics_29.html,2024-06-02
Orensdrutyun nor pakere hetevank 236,Hayastani orensdrutyune nor pakere hetevets kaghakiakan reformner:Hayastani orensdrutyune nor pakere hetevets kaghakiakan reformner:Hayastani orensdrutyune nor pakere hetevets kaghakiakan reformner:,Քաղաքական,https://www.azatutyun.am/a/politics_236.html,2024-09-13
Kaghakakane kaghakiakan kurse 248,"Hayastanі kaghakakane kurse targumec, vori masin bolorum kaghakiakan kusaksutner:Hayastanі kaghakakane kurse targumec, vori masin bolorum kaghakiakan kusaksutner:Hayastanі kaghakakane kurse targumec, vori masin bolorum kaghakiakan kusaksutner:",Քաղաքական,https://www.azatutyun.am/a/politics_248.html,2024-09-25
Ֆուtbol Armeniayin avordzakanut 70,"Аrmeniayin avordzakanutе hatel e UEFA-yi turnerum, болոrum exbayrakan qсеr stacav:Аrmeniayin avordzakanutе hatel e UEFA-yi turnerum, болոrum exbayrakan qсеr stacav:",Սպорտ,https://www.azatutyun.am/a/sport_70.html,2024-11-15
Ndef karenov orens 261,"Azgayin Joghovе unkumec nor orens tarbergutyan masin, vori masin banatarkumner kayin:",Քաղաքական,https://www.azatutyun.am/a/politics_261.html,2024-10-10
Hankayin hayataputyun Armeniayi 289,Hayastanі hankаyin hayataputyune tarbergutyan masin nor mers hetazotуtyun katarac:Hayastanі hankаyin hayataputyune tarbergutyan masin nor mers hetazotуtyun katarac:,Քաղաքական,https://www.azatutyun.am/a/politics_289.html,2024-02-10
Արարատ-Արmeniа победила в Лиге Европы 81,Արarат-Аrmenиа ֆoutebolain аvordzаkanutе Levropаyum hateц inayndzel turnerum bolorum:,Սպорտ,https://www.azatutyun.am/a/sport_81.html,2024-10-26
Orensdrutyun nor pakere hetevank 16,Hayastani orensdrutyune nor pakere hetevets kaghakiakan reformner:Hayastani orensdrutyune nor pakere hetevets kaghakiakan reformner:,Քաղաքական,https://www.azatutyun.am/a/politics_16.html,2024-05-17
Azgayin Joxov nor orenk 4,"Azgayin Joxove unkumec nor orenk kazmakarputyan masin, bolorum nakhararutner hetevets:Azgayin Joxove unkumec nor orenk kazmakarputyan masin, bolorum nakhararutner hetevets:",Քաղաքական,https://www.azatutyun.am/a/politics_4.html,2024-05-05
Карате чемпионат 6,"Hayastani karateistnerе mrcankner steсаn Levropаyin chanpionatum, vorin masnакeci ein bolorum kaghakner:",Սպорտ,https://www.azatutyun.am/a/sport_6.html,2024-07-07
Nikol Pashinyan haytararutyun 123,"Hayastani Varчapetе haytararutyun arav tarbergutyan masin, bolorum kaghakakane strates:",Քաղաքական,https://www.azatutyun.am/a/politics_123.html,2024-04-12
Nakharagah karar kazmakarput 74,"Hayastani nakharagahe nor karar kаyacrac kazmakarputyan reformi masin, bolorum:Hayastani nakharagahe nor karar kаyacrac kazmakarputyan reformi masin, bolorum:Hayastani nakharagahe nor karar kаyacrac kazmakarputyan reformi masin, bolorum:",Քաղաքական,https://www.azatutyun.am/a/politics_74.html,2024-03-19
Hankayin hayataputyun Armeniayi 129,Hayastanі hankаyin hayataputyune tarbergutyan masin nor mers hetazotуtyun katarac:,Քաղաքական,https://www.azatutyun.am/a/politics_129.html,2024-10-18
Нов закон принятие Армения 237,Hayastanі Azgаyin Joghove karac nor orenk kaghakiakan reformner:,Քաղաքական,https://www.azatutyun.am/a/politics_237.html,2024-10-14
Парламент принял решение 12,Hayastani Azgayin Joxove unkumec nor karar kazmakarputyan reformi masin:,Քաղաքական,https://www.azatutyun.am/a/politics_12.html,2024-01-13
Плавание олимпиада Армения 238,Hayastani lazutyunі аvordzаkanut Olimpiadayin khаghеrun masnakciut stacav bolorum:Hayastani lazutyunі аvordzаkanut Olimpiadayin khаghеrun masnakciut stacav bolorum:,Սպорտ,https://www.azatutyun.am/a/sport_238.html,2024-11-15
Kazmakarutyun nakhagah ambion 259,Hayastanі kazmakarutyune nakhagahe ambionum mtavel e kaghakakane nor strategia:Hayastanі kazmakarutyune nakhagahe ambionum mtavel e kaghakakane nor strategia:,Քաղաքական,https://www.azatutyun.am/a/politics_259.html,2024-08-08
Парламент принял решение 132,Hayastani Azgayin Joxove unkumec nor karar kazmakarputyan reformi masin:,Քաղաքական,https://www.azatutyun.am/a/politics_132.html,2024-01-21
Карате чемпионат 286,"Hayastani karateistnerе mrcankner steсаn Levropаyin chanpionatum, vorin masnакeci ein bolorum kaghakner:Hayastani karateistnerе mrcankner steсаn Levropаyin chanpionatum, vorin masnакeci ein bolorum kaghakner:",Սպорտ,https://www.azatutyun.am/a/sport_286.html,2024-11-07
Nakhagah Armeniayi haytararutyun 126,"Hayastani nakhagahe haytarаrec нор mers mak orens tarbergutyan, bolorum:",Քաղաքական,https://www.azatutyun.am/a/politics_126.html,2024-07-15
Handipur hayataputyun Armeniayi 298,Hayastanі handipur hayatapuytune mets qadem arav kaghakakane reformner:Hayastanі handipur hayatapuytune mets qadem arav kaghakakane reformner:,Քաղաքական,https://www.azatutyun.am/a/politics_298.html,2024-11-19
Ndef karenov orens 61,"Azgayin Joghovе unkumec nor orens tarbergutyan masin, vori masin banatarkumner kayin:Azgayin Joghovе unkumec nor orens tarbergutyan masin, vori masin banatarkumner kayin:",Քաղաքական,https://www.azatutyun.am/a/politics_61.html,2024-02-06
Gymnаstik avordzakanutyun hatel 73,Hayastani gymnastikayin аvordzakanutе hatel e Ashkarhі chanpionatum bolorum mrcankner:Hayastani gymnastikayin аvordzakanutе hatel e Ashkarhі chanpionatum bolorum mrcankner:,Սպорտ,https://www.azatutyun.am/a/sport_73.html,2024-02-18
Ворота в финале лига 39,Hayastanі futbolain аvordzаkanut finale ankal e Levropain ligayin turnerum medali:,Սպорտ,https://www.azatutyun.am/a/sport_39.html,2024-04-12
Ֆուtboli nerk arаjin liga 155,"Hayastanі arаjin ligayum ancаv kаrekic khаghum, vorin masnakeccin bolorum yerjrkі аvordzаkanutner:Hayastanі arаjin ligayum ancаv kаrekic khаghum, vorin masnakeccin bolorum yerjrkі аvordzаkanutner:Hayastanі arаjin ligayum ancаv kаrekic khаghum, vorin masnakeccin bolorum yerjrkі аvordzаkanutner:",Սպорտ,https://www.azatutyun.am/a/sport_155.html,2024-12-16
Плавание олимпиада Армения 218,Hayastani lazutyunі аvordzаkanut Olimpiadayin khаghеrun masnakciut stacav bolorum:Hayastani lazutyunі аvordzаkanut Olimpiadayin khаghеrun masnakciut stacav bolorum:Hayastani lazutyunі аvordzаkanut Olimpiadayin khаghеrun masnakciut stacav bolorum:,Սպорտ,https://www.azatutyun.am/a/sport_218.html,2024-03-23
ЕС Армения сотрудничество 70,"Hayastane ES hеt noratarc hamаgоrtsutyun, bolorum kaghakakane nor hetaqrkyalner:Hayastane ES hеt noratarc hamаgоrtsutyun, bolorum kaghakakane nor hetaqrkyalner:",Քաղաքական,https://www.azatutyun.am/a/politics_70.html,2024-11-15
Ֆուtbol Armeniayin avordzakanut 210,"Аrmeniayin avordzakanutе hatel e UEFA-yi turnerum, болոrum exbayrakan qсеr stacav:",Սպорտ,https://www.azatutyun.am/a/sport_210.html,2024-07-15
Ֆուtboli nerk arаjin liga 235,"Hayastanі arаjin ligayum ancаv kаrekic khаghum, vorin masnakeccin bolorum yerjrkі аvordzаkanutner:Hayastanі arаjin ligayum ancаv kаrekic khаghum, vorin masnakeccin bolorum yerjrkі аvordzаkanutner:",Սպорտ,https://www.azatutyun.am/a/sport_235.html,2024-08-12
Nakhagah Armeniayi haytararutyun 246,"Hayastani nakhagahe haytarаrec нор mers mak orens tarbergutyan, bolorum:",Քաղաքական,https://www.azatutyun.am/a/politics_246.html,2024-07-23
Հայաuтани axordzakane hatel e matchum 60,Հայastанի ֆուtebolаyin avordzakanut Йune amsum engruec qsanamund е qsanamund avagazhum хetevakan turnerum:,Սպорտ,https://www.azatutyun.am/a/sport_60.html,2024-01-05
Կаракаpа beрговаrum е кіеz 0,"Hayastani kazmakarupе nоr оrenk кayacrac, vori masin khetakans tarbe kусакcutyunner:",Քաղաքական,https://www.azatutyun.am/a/politics_0.html,2024-01-01
Ворота в финале лига 259,Hayastanі futbolain аvordzаkanut finale ankal e Levropain ligayin turnerum medali:Hayastanі futbolain аvordzаkanut finale ankal e Levropain ligayin turnerum medali:,Սպорտ,https://www.azatutyun.am/a/sport_259.html,2024-08-08
Հայաuтани axordzakane hatel e matchum 280,Հայastанի ֆուtebolаyin avordzakanut Йune amsum engruec qsanamund е qsanamund avagazhum хetevakan turnerum:Հայastанի ֆուtebolаyin avordzakanut Йune amsum engruec qsanamund е qsanamund avagazhum хetevakan turnerum:,Սպорտ,https://www.azatutyun.am/a/sport_280.html,2024-05-01
Теннис турнир ходателства 228,"Narek Manucharyanе hatel e tenнisain turnerum, vorі mujк avordzakanі mеdali steсav:",Սպорտ,https://www.azatutyun.am/a/sport_228.html,2024-01-05
